status,package_name,season,departure_date,departure_sector,return_date,return_sector,airline,dep_flight,ret_flight,db_package_id,db_flight_id,db_dep_sector,db_ret_sector,notes
"no_db_package","MAWADDAH","PS - DEC",2026-12-27,"KULMED",2027-01-07,"JEDKUL","MH","0158A","0157B","","","","","MAWADDAH"
"no_db_package","MENARA JAM","PS - DEC",2026-12-30,"KULJED",2027-01-09,"MEDKUL","MH","0150","0153","","","","","UMJ"
"no_db_package","MAWADDAH","PS - DEC",2026-12-31,"KULMED",2027-01-10,"JEDKUL","MH","0152","0151","","","","","MAWADDAH"
"no_db_package","UMJ PLUS","PS - DEC",2027-01-09,"KULJED",2027-01-20,"MEDKUL","MH","0150","0153","","","","","UMJ PLUS"
"no_db_package","MENARA JAM","RS - FEB",2027-02-01,"KULJED",2027-02-12,"MEDKUL","MH","0158C","0157A","","","","","UMJ"
"no_db_package","MAWADDAH","RS - FEB",2027-02-07,"KULJED",2027-02-17,"MEDKUL","MH","MH156","MH159","","","","","MAWADDAH"
"no_db_package","MENARA JAM PREMIUM","RS - FEB",2027-02-17,"KULJED",2027-02-27,"MEDKUL","MH","MH156","MH159","","","","","UMJ P"
"no_db_package","MENARA JAM","RS - FEB",2027-02-27,"KULJED",2027-03-09,"MEDKUL","MH","MH156","MH159","","","","","UMJ"
"no_db_package","MANASIK HAJI","SS - MAC",2027-03-14,"KULJED",2027-03-24,"MEDKUL","MH","MH156","MH159","","","","","MANASIK"
"no_db_package","MAWADDAH","SS - MAC",2027-03-15,"KULJED",2027-03-25,"MEDKUL","MH","MH156","MH159","","","","","MAWADDAH"
"no_db_package","MENARA JAM","SS - MAC",2027-03-18,"KULJED",2027-03-28,"MEDKUL","MH","MH156","MH159","","","","","UMJ"
"no_db_package","MAWADDAH","SS - MAC",2027-03-19,"KULJED",2027-03-29,"MEDKUL","MH","MH156","MH159","","","","","MAWADDAH"
